Week,Rank,Cover,Genre,Song,Artist,Last_Week,Peak,Weeks_on_Chart
2026-01-10,8,https://charts-static.billboard.com/img/2025/10/taylor-swift-vug-opalite-05j-180x180.jpg,Pop,Opalite,Taylor Swift,54,2,13
2026-01-10,9,https://charts-static.billboard.com/img/2024/10/leonthomas-y3w-mutt-ch5-180x180.jpg,R&B/Soul,Mutt,Leon Thomas,-,6,47
2026-01-10,10,https://charts-static.billboard.com/img/2009/07/justin-bieber-dj8-180x180.jpg,Pop,Daisies,Justin Bieber,-,2,24
2026-01-10,11,https://charts-static.billboard.com/img/2025/05/morgan-wallen-eos-igotbetter-8s9-180x180.jpg,Country,I Got Better,Morgan Wallen,-,7,29
2026-01-10,12,https://charts-static.billboard.com/img/2025/12/poohshiesty-klv-fdo-1pe-180x180.jpg,Hip-Hop/Rap,FDO,Pooh Shiesty,53,12,3
2026-01-10,13,https://charts-static.billboard.com/img/2025/10/raye-azb-whereismyhusband-mtb-180x180.jpg,Pop,Where Is My Husband!,RAYE,56,13,14
2026-01-10,14,https://charts-static.billboard.com/img/2022/01/oliviadean-8k4-180x180.jpg,Pop,So Easy (To Fall In Love),Olivia Dean,57,14,14
2026-01-10,15,https://charts-static.billboard.com/img/2025/05/morgan-wallen-eos-20cigarettes-37w-180x180.jpg,Country,20 Cigarettes,Morgan Wallen,60,15,32
2026-01-10,16,https://charts-static.billboard.com/img/2024/02/djo-fyo-endofbeginning-lak-180x180.jpg,Alternative,End Of Beginning,Djo,-,11,22
2026-01-10,17,https://charts-static.billboard.com/img/2025/08/chris-brown-cyh-itdepends-6sf-180x180.jpg,R&B/Soul,It Depends,Chris BrownFeaturingBryson Tiller,-,16,22
2026-01-10,18,https://charts-static.billboard.com/img/2025/06/sabrina-carpenter-l0r-manchild-cmz-180x180.jpg,Pop,Manchild,Sabrina Carpenter,-,1,26
2026-01-10,19,https://charts-static.billboard.com/img/2016/08/morgan-wallen-eos-180x180.jpg,Pop,What I Want,Morgan WallenFeaturingTate McRae,-,1,28
2026-01-10,20,https://charts-static.billboard.com/img/2025/10/tatemcrae-vd8-titfortat-qq9-180x180.jpg,Pop,Tit For Tat,Tate McRae,58,3,14
2026-01-10,21,https://charts-static.billboard.com/img/2026/01/lil-uzi-vert-z30-whatyousaying-y59-180x180.jpg,Hip-Hop/Rap,What You Saying,Lil Uzi Vert,-,21,1
2026-01-10,22,https://charts-static.billboard.com/img/2025/07/katseye-xrz-gabriela-iea-180x180.jpg,Pop,Gabriela,KATSEYE,63,22,24
2026-01-10,23,https://charts-static.billboard.com/img/2024/11/riley-green-flo-dontmindifido-5mc-180x180.jpg,Pop,Don't Mind If I Do,Riley GreenFeaturing Ella Langley,62,23,22
2026-01-10,24,https://charts-static.billboard.com/img/2025/01/ravynlenae-qqs-lovemenot-et7-180x180.jpg,Pop,Love Me Not,Ravyn Lenae,-,5,35
2026-01-10,25,https://charts-static.billboard.com/img/2016/09/gunna-t8f-180x180.jpg,Pop,wgft,GunnaFeaturingBurna Boy,59,25,21
2026-01-10,26,https://charts-static.billboard.com/img/2024/05/mylessmith-w4f-180x180.jpg,Singer/Songwriter,Nice To Meet You,Myles Smith,-,26,29
2026-01-10,27,https://charts-static.billboard.com/img/2021/01/mariahthescientist-nuo-180x180.jpg,R&B/Soul,Is It A Crime,Mariah The Scientist&Kali Uchis,61,27,21
2026-01-10,28,https://charts-static.billboard.com/img/2023/02/bigxthaplug-b4l-180x180.jpg,Hip-Hop/Rap,Hell At Night,BigXthaPlug Featuring Ella Langley,66,28,21
2026-01-10,29,https://charts-static.billboard.com/img/2025/03/russell-dickerson-aem-happentome-tcj-180x180.jpg,Pop,Happen To Me,Russell Dickerson,69,28,37
2026-01-10,30,https://charts-static.billboard.com/img/2009/07/justin-bieber-dj8-180x180.jpg,Pop,Yukon,Justin Bieber,65,17,25
2026-01-10,31,https://charts-static.billboard.com/img/2025/07/meganmoroney-ugl-6monthslater-74i-180x180.jpg,Pop,6 Months Later,Megan Moroney,73,30,28
2026-01-10,32,https://charts-static.billboard.com/img/2024/11/maxmcnown-0ht-bettermeforyoubrowneyes-h8h-180x180.jpg,Country,Better Me For You (Brown Eyes),Max McNown,74,32,29
2026-01-10,33,https://charts-static.billboard.com/img/2024/11/hudsonwestbrook-9ly-houseagain-zq0-180x180.jpg,Country,House Again,Hudson Westbrook,70,33,37
2026-01-10,34,https://charts-static.billboard.com/img/2025/05/cody-johnson-0vx-thefall-rvi-180x180.jpg,Country,The Fall,Cody Johnson,76,34,14
2026-01-10,35,https://charts-static.billboard.com/img/2025/07/sajaboysandrewchoineckwavdannychungkevinwoosamuillee-bpl-sodapop-81d-180x180.jpg,Pop,Soda Pop,"Saja Boys: Andrew Choi, Neckwav, Danny Chung, Kevin Woo & samUIL Lee",-,3,23
2026-01-10,36,https://charts-static.billboard.com/img/2025/11/oliviadean-8k4-acoupleminutes-of9-180x180.jpg,Pop,A Couple Minutes,Olivia Dean,68,36,10
2026-01-10,37,https://charts-static.billboard.com/img/2025/09/sabrina-carpenter-l0r-tears-3zb-180x180.jpg,Pop,Tears,Sabrina Carpenter,71,3,18
2026-01-10,38,https://charts-static.billboard.com/img/2025/11/esdeekid-laa-180x180.jpg,Pop,4 Raws,EsDeeKid,64,38,3
2026-01-10,39,https://charts-static.billboard.com/img/2019/01/shaboozey-2wm-180x180.jpg,Country,Amen,Shaboozey&Jelly Roll,79,39,34
2026-01-10,40,https://charts-static.billboard.com/img/2025/06/discolines-hzk-nobrokeboys-gbu-180x180.jpg,Pop,No Broke Boys,Disco Lines &Tinashe,-,36,21
2026-01-10,41,https://charts-static.billboard.com/img/2025/07/sajaboysandrewchoineckwavdannychungkevinwoosamuillee-bpl-youridol-tim-180x180.jpg,Pop,Your Idol,"Saja Boys: Andrew Choi, Neckwav, Danny Chung, Kevin Woo & samUIL Lee",-,4,24
2026-01-10,42,https://charts-static.billboard.com/img/2025/04/hardy-rmc-favoritecountrysong-jny-180x180.jpg,Country,Favorite Country Song,HARDY,80,42,10
2026-01-10,43,https://charts-static.billboard.com/img/2008/04/she-him-5u4-180x180.jpg,Rock,I Thought I Saw Your Face Today,She & Him,72,43,4
2026-01-10,44,https://charts-static.billboard.com/img/2025/08/sombr-2ps-12to12-142-180x180.jpg,Alternative,12 To 12,sombr,83,41,20
2026-01-10,45,https://charts-static.billboard.com/img/2025/07/huntrxejaeaudreynunareiami-o2t-howitsdone-3mh-180x180.jpg,K-Pop,How It's Done,"HUNTR/X: EJAE, Audrey Nuna & REI AMI",-,8,23
2026-01-10,46,https://charts-static.billboard.com/img/2025/10/luke-combs-s5l-dayslikethese-eep-180x180.jpg,Country,Days Like These,Luke Combs,87,46,10
2026-01-10,47,https://charts-static.billboard.com/img/2024/08/gavinadcock-zdi-180x180.jpg,Pop,Last One To Know,Gavin Adcock,89,47,20
2026-01-10,48,https://charts-static.billboard.com/img/2025/05/youngboy-never-broke-again-ak3-shotcallin-a7o-180x180.jpg,Hip-Hop/Rap,Shot Callin,YoungBoy Never Broke Again,75,43,16
2026-01-10,49,https://charts-static.billboard.com/img/2025/09/jason-aldean-903-howfardoesagoodbyego-vgz-180x180.jpg,Country,How Far Does A Goodbye Go,Jason Aldean,86,49,12
2026-01-10,50,https://charts-static.billboard.com/img/2025/01/parmalee-3ux-cowgirl-thf-180x180.jpg,Country,Cowgirl,Parmalee,90,50,5
2026-01-10,51,https://charts-static.billboard.com/img/2013/08/metro-boomin-koo-180x180.jpg,Hip-Hop/Rap,Take Me Thru Dere,"Metro Boomin,Quavo, Breskii & YKNIECE",77,51,14
2026-01-10,52,https://charts-static.billboard.com/img/2022/04/pesopluma-axe-180x180.jpg,Karaoke,Dopamina,Peso Pluma& Tito Double P,-,52,1
2026-01-10,53,https://charts-static.billboard.com/img/2025/11/tyla-8f0-chanel-gkl-180x180.jpg,Pop,Chanel,Tyla,82,53,3
2026-01-10,54,https://charts-static.billboard.com/img/2016/03/cardi-b-tfu-180x180.jpg,Hip-Hop/Rap,ErrTime,Cardi B,78,43,14
2026-01-10,55,https://charts-static.billboard.com/img/2025/11/cody-johnson-0vx-travelinsoldier-cvg-180x180.jpg,Country,Travelin' Soldier,Cody Johnson,97,12,8
2026-01-10,56,https://charts-static.billboard.com/img/2025/08/alexwarren-vcb-eternity-s7w-180x180.jpg,Pop,Eternity,Alex Warren,91,16,18
2026-01-10,57,https://charts-static.billboard.com/img/2025/10/david-guetta-0qb-gonegonegone-bic-180x180.jpg,Pop,Gone Gone Gone,"David Guetta,Teddy Swims&Tones And I",92,57,5
2026-01-10,58,https://charts-static.billboard.com/img/2025/09/ed-sheeran-5jf-camera-2jx-180x180.jpg,Pop,Camera,Ed Sheeran,85,58,16
2026-01-10,59,https://charts-static.billboard.com/img/2025/10/taylor-swift-vug-elizabethtaylor-fes-180x180.jpg,Pop,Elizabeth Taylor,Taylor Swift,93,3,13
2026-01-10,60,https://charts-static.billboard.com/img/2025/05/morgan-wallen-eos-iaintcomingback-l13-180x180.jpg,Country,I Ain't Coming Back,Morgan WallenFeaturingPost Malone,95,8,29
2026-01-10,61,https://charts-static.billboard.com/img/2016/08/21-savage-6vl-180x180.jpg,Electronic,Mr Recoup,21 Savage&Drake,67,51,3
2026-01-10,62,https://charts-static.billboard.com/img/2025/10/tame-impala-nyr-dracula-dtm-180x180.jpg,Alternative,Dracula,Tame Impala,84,30,14
2026-01-10,63,https://charts-static.billboard.com/img/2014/06/sabrina-carpenter-l0r-180x180.jpg,Pop,Such A Funny Way,Sabrina Carpenter,-,63,1
2026-01-10,64,https://charts-static.billboard.com/img/2025/11/meganmoroney-ugl-beautifulthings-3dm-180x180.jpg,Country,Beautiful Things,Megan Moroney,-,64,5
2026-01-10,65,https://charts-static.billboard.com/img/2025/04/blake-shelton-d4t-staycountryordietryin-k52-180x180.jpg,Pop,Stay Country Or Die Tryin',Blake Shelton,-,65,1
2026-01-10,66,https://charts-static.billboard.com/img/2014/06/sabrina-carpenter-l0r-180x180.jpg,Pop,When Did You Get Hot?,Sabrina Carpenter,-,17,16
2026-01-10,67,https://charts-static.billboard.com/img/2025/11/esdeekid-laa-180x180.jpg,Electronic,Phantom,EsDeeKid & Rico Ace,81,67,2
2026-01-10,68,https://charts-static.billboard.com/img/2024/09/chasematthew-iyz-darlin-vto-180x180.jpg,Country,Darlin',Chase Matthew,-,52,14
2026-01-10,69,https://charts-static.billboard.com/img/2025/11/siennaspiro-o5d-dieonthishill-f28-180x180.jpg,Pop,Die On This Hill,Sienna Spiro,100,69,2
2026-01-10,70,https://charts-static.billboard.com/img/2011/05/tyler-the-creator-e8x-180x180.jpg,Pop,Sugar On My Tongue,"Tyler, The Creator",98,41,24
2026-01-10,71,https://charts-static.billboard.com/img/2025/08/loeshimmy-000-3am-fvs-180x180.jpg,Hip-Hop/Rap,3am,Loe Shimmy &Don Toliver,96,71,7
2026-01-10,72,https://charts-static.billboard.com/img/2006/07/taylor-swift-vug-180x180.jpg,Pop,Father Figure,Taylor Swift,-,4,12
2026-01-10,73,https://charts-static.billboard.com/img/2006/07/taylor-swift-vug-180x180.jpg,Pop,Wi$h Li$t,Taylor Swift,-,6,11
2026-01-10,74,https://charts-static.billboard.com/img/2025/09/oliviadean-8k4-nicetoeachother-lqm-180x180.jpg,Pop,Nice To Each Other,Olivia Dean,-,74,10
2026-01-10,75,https://charts-static.billboard.com/img/2022/04/pesopluma-axe-180x180.jpg,Música Mexicana,Dano,Peso Pluma& Tito Double P,-,75,1
2026-01-10,76,https://charts-static.billboard.com/img/2022/04/pesopluma-axe-180x180.jpg,Pop,Ni Pedo,Peso Pluma& Tito Double P,-,76,1
2026-01-10,77,https://charts-static.billboard.com/img/2025/11/shakira-5cv-zoo-7lp-180x180.jpg,Soundtrack,Zoo,Shakira,-,77,1
2026-01-10,78,https://charts-static.billboard.com/img/2022/01/oliviadean-8k4-180x180.jpg,Pop,Let Alone The One You Love,Olivia Dean,-,78,5
2026-01-10,79,https://charts-static.billboard.com/img/2022/04/pesopluma-axe-180x180.jpg,Pop,Bckpckbyz,Peso Pluma& Tito Double P,-,79,1
2026-01-10,80,https://charts-static.billboard.com/img/2025/02/georgebirge-000-itwontbelong-plv-180x180.jpg,Country,It Won't Be Long,George Birge,-,80,1
2026-01-10,81,https://charts-static.billboard.com/img/2025/06/alexwarren-vcb-bloodline-b68-180x180.jpg,Pop,Bloodline,Alex WarrenWithJelly Roll,-,32,14
2026-01-10,82,https://charts-static.billboard.com/img/2025/05/katseye-xrz-gnarly-hxi-180x180.jpg,Pop,Gnarly,KATSEYE,-,82,12
2026-01-10,83,https://charts-static.billboard.com/img/2024/03/tuckerwetmore-ras-180x180.jpg,Country,Brunette,Tucker Wetmore,-,83,1
2026-01-10,84,https://charts-static.billboard.com/img/2024/10/jelly-roll-7m0-heartofstone-9jj-180x180.jpg,Pop,Heart Of Stone,Jelly Roll,-,53,14
2026-01-10,85,https://charts-static.billboard.com/img/2006/07/taylor-swift-vug-180x180.jpg,Pop,The Life Of A Showgirl,Taylor SwiftFeaturingSabrina Carpenter,-,8,10
2026-01-10,86,https://charts-static.billboard.com/img/2016/08/suicideboys-d17-180x180.jpg,Pop,Leviticus,$uicideboy$,-,86,1
2026-01-10,87,https://charts-static.billboard.com/img/2018/09/themarias-mjs-180x180.jpg,Alternative,Sienna,The Marias,-,74,14
2026-01-10,88,https://charts-static.billboard.com/img/2025/10/youngboy-never-broke-again-ak3-whatyouis-1u0-180x180.jpg,Pop,What You Is,YoungBoy Never Broke Again& Mellow Rackz,-,75,8
2026-01-10,89,https://charts-static.billboard.com/img/2016/03/daniel-caesar-2qj-180x180.jpg,R&B/Soul,Who Knows,Daniel Caesar,-,89,1
2026-01-10,90,https://charts-static.billboard.com/img/2024/09/emmanuelcortes-60h-amor-mwo-180x180.jpg,Música Mexicana,Amor,Emmanuel Cortes,-,90,3
2026-01-10,91,https://charts-static.billboard.com/img/2025/12/h3adband-aka-boo-efn-180x180.jpg,Hip-Hop/Rap,BOO,H3adband,-,91,1
2026-01-10,92,https://charts-static.billboard.com/img/2016/03/cardi-b-tfu-180x180.jpg,Pop,Safe,Cardi BFeaturingKehlani,-,26,11
2026-01-10,93,https://charts-static.billboard.com/img/2025/12/kato-m47-turnthelightsoff-9t4-180x180.jpg,Pop,Turn The Lights Off,KATO Featuring Jon,99,82,3
2026-01-10,94,https://charts-static.billboard.com/img/2025/11/nf-v2k-fear-0x2-180x180.jpg,Hip-Hop/Rap,Fear,NF,-,35,3
2026-01-10,95,https://charts-static.billboard.com/img/2024/10/tymyers-tki-endsoftheearth-7v3-180x180.jpg,Country,Ends Of The Earth,Ty Myers,-,94,2
2026-01-10,96,https://charts-static.billboard.com/img/2025/04/phil-wickham-40z-whatanawesomegod-7dq-180x180.jpg,Christian,What An Awesome God,Phil Wickham,-,96,4
2026-01-10,97,https://charts-static.billboard.com/img/2019/11/tatemcrae-vd8-180x180.jpg,Pop,Nobody's Girl,Tate McRae,-,29,4
2026-01-10,98,https://charts-static.billboard.com/img/2025/10/madison-beer-u5k-bittersweet-dmw-180x180.jpg,Pop,Bittersweet,Madison Beer,-,98,1
2026-01-10,99,https://charts-static.billboard.com/img/2022/01/oliviadean-8k4-180x180.jpg,Pop,Baby Steps,Olivia Dean,-,99,1
2026-01-10,100,https://charts-static.billboard.com/img/2016/10/bad-bunny-74k-180x180.jpg,Pop,Voy A Llevarte Pa PR,Bad Bunny,-,17,14
2026-01-03,1,https://charts-static.billboard.com/img/1994/12/mariah-carey-qmg-alliwantforchristmasisyou-7ve-180x180.jpg,Pop,All I Want For Christmas Is You,Mariah Carey,1,1,79
2026-01-03,2,https://charts-static.billboard.com/img/1960/12/brenda-lee-we3-rockinaroundthechristmastree-lnw-180x180.jpg,Pop,Rockin' Around The Christmas Tree,Brenda Lee,3,1,71
2026-01-03,3,https://charts-static.billboard.com/img/1958/12/bobby-helms-elv-jinglebellrock-dkg-180x180.jpg,Pop,Jingle Bell Rock,Bobby Helms,2,2,68
2026-01-03,4,https://charts-static.billboard.com/img/1998/01/wham-pyz-lastchristmas-xhm-180x180.jpg,Pop,Last Christmas,Wham!,4,2,53
2026-01-03,5,https://charts-static.billboard.com/img/2014/12/ariana-grande-i9s-santatellme-st8-180x180.jpg,Pop,Santa Tell Me,Ariana Grande,5,5,36
2026-01-03,6,https://charts-static.billboard.com/img/1960/12/nat-king-cole-4rw-thechristmassongmerrychristmastoyou-t9m-180x180.jpg,Pop,The Christmas Song (Merry Christmas To You),"Nat ""King"" Cole",6,6,56
2026-01-03,7,https://charts-static.billboard.com/img/2011/12/dean-martin-000-letitsnowletitsnowletitsnow-ipd-180x180.jpg,Pop,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,8,7,42
2026-01-03,8,https://charts-static.billboard.com/img/2013/11/kelly-clarkson-60b-underneaththetree-hcd-180x180.jpg,Pop,Underneath The Tree,Kelly Clarkson,7,7,39
2026-01-03,9,https://charts-static.billboard.com/img/2001/12/andy-williams-6it-itsthemostwonderfultimeoftheyear-8ww-180x180.jpg,Pop,It's The Most Wonderful Time Of The Year,Andy Williams,9,5,52
2026-01-03,10,https://charts-static.billboard.com/img/2001/12/the-ronettes-ae9-sleighride-k35-180x180.jpg,Pop,Sleigh Ride,The Ronettes,12,8,39
